nb_nodes,seed,algo,time,ans
78,9,glouton,2.9062,36
79,0,glouton,3.2882,37
79,1,glouton,7.155,34
79,2,glouton,2.9639,36
79,3,glouton,3.014,36
79,4,glouton,3.2037,37
79,5,glouton,3.0476,35
79,6,glouton,3.1689,37
79,7,glouton,3.3514,37
79,8,glouton,3.1744,36
79,9,glouton,3.0363,35
80,0,glouton,3.2122,37
80,1,glouton,3.2159,36
80,2,glouton,3.1117,35
80,3,glouton,3.2303,36
80,4,glouton,3.0958,35
80,5,glouton,3.2682,38
80,6,glouton,3.1284,36
80,7,glouton,10.4824,36
80,8,glouton,3.3691,37
80,9,glouton,3.4689,34
81,0,glouton,3.3269,37
81,1,glouton,3.3804,37
81,2,glouton,3.5162,39
81,3,glouton,3.1934,36
81,4,glouton,3.8665,40
81,5,glouton,4.9712,36
81,6,glouton,3.2984,37
81,7,glouton,3.2425,36
81,8,glouton,3.1304,36
81,9,glouton,3.0848,36
82,0,glouton,3.5923,39
82,1,glouton,3.6259,37
82,2,glouton,3.5292,36
82,3,glouton,3.4025,37
82,4,glouton,3.339,37
82,5,glouton,4.5958,36
82,6,glouton,3.3132,36
82,7,glouton,4.4787,37
82,8,glouton,3.3897,36
82,9,glouton,3.1862,36
83,0,glouton,3.3224,37
83,1,glouton,3.324,37
83,2,glouton,3.7049,39
83,3,glouton,3.5092,37
83,4,glouton,3.3128,37
83,5,glouton,3.5744,39
83,6,glouton,3.2944,38
83,7,glouton,3.2936,37
83,8,glouton,3.3209,39
83,9,glouton,3.1885,37
84,0,glouton,3.2879,36
84,1,glouton,3.428,37
84,2,glouton,3.7592,40
84,3,glouton,3.5168,39
84,4,glouton,3.2417,35
84,5,glouton,3.4614,38
84,6,glouton,3.4594,37
84,7,glouton,3.4692,37
84,8,glouton,3.6663,41
84,9,glouton,3.5101,36
85,0,glouton,3.7256,40
85,1,glouton,3.7191,40
85,2,glouton,3.7478,40
85,3,glouton,3.7457,37
85,4,glouton,3.5369,37
85,5,glouton,3.7974,40
85,6,glouton,3.437,36
85,7,glouton,3.5679,38
85,8,glouton,3.5717,42
85,9,glouton,3.2962,38
86,0,glouton,4.2811,39
86,1,glouton,3.7741,39
